LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version,pickup_raw_longrun_tip_rate,pickup_residualized_tip_rate,pickup_tree_leaf_id,dropoff_raw_longrun_tip_rate,dropoff_residualized_tip_rate,dropoff_tree_leaf_id
123,Homecrest,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0060882196622188,-0.0035349268506853,1,0.0805042181458135,-0.0038604422160082,4
124,Howard Beach,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0667806327123296,0.0141156124367262,3,0.1496316351710123,-0.0078054302445057,2
125,Hudson Sq,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special,0.2528826871179006,-0.0003037617573541,1,0.2519182538593994,0.0042455658204886,3
126,Hunts Point,Bronx,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special,0.0104183829433893,0.0008261248449744,1,0.0792304475546837,-0.0050984527915261,1
127,Inwood,Manhattan,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0518651348027399,0.0188214229572097,2,0.1855546187174809,0.0186657866738686,4
128,Inwood Hill Park,Manhattan,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.0811533424333057,0.018957637189138,2,0.167556546228624,0.0321377701093703,2
129,Jackson Heights,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.1328081258849253,-0.0053937516178371,1,0.2066250649273132,0.0096676750506993,4
130,Jamaica,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0758888095256175,0.0018322851177049,4,0.1150125098960101,-0.0132690796413078,4
131,Jamaica Estates,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0122658977160751,-0.0019378566972696,4,0.123409809778406,-0.0113571969441443,5
132,JFK Airport,Queens,Airports,True,airport_special,7,Airport special zone,0426_kmeans6_airport_special,0.1889146360555239,-0.0002539938196018,,0.1960966099903069,-0.0005771042968424,
133,Kensington,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0323027142646956,-0.0031975913174448,1,0.1801992256800615,0.0175891770381367,4
134,Kew Gardens,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.1079051494202119,-0.0048185747206975,1,0.1615651662258009,-0.010341943357109,2
135,Kew Gardens Hills,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0209580285890767,-0.0452321392429811,1,0.1494272221651761,-0.025356130132872,4
136,Kingsbridge Heights,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0081570765660358,-0.0099423695124323,2,0.0689348131842189,-0.0047517054314605,4
